Rank	Player	Pos	Us_Pos	ECR_Pos	ESPN_Pos	Tier	Team	Bye	Age	Exp	Ht	Wt	40yd	OurValue$	vsECR	ProjPts	2025Pts	2025Gms	ECR	ECR_Best	ECR_Worst	ESPN_Rank	ESPN_ADP	Rostered%	SleeperBuzz	Depth	Latest News	NewsURL
241	Evan Engram	TE	TE31	TE31	TE31	TE-T9	DEN	10	32.0	10	6'3"	240	4.42	1	13	47.3	52.8	16	253.98	195	306	414	170.0	8				
242	Emanuel Wilson	RB	RB65	RB65	RB79	RB-T11	SEA	11	27.3	4	5'10"	226		1	-13	47.1	77.5	17	228.95	132	393	355	170.2	4	DROP			
243	Chimere Dike	WR	WR92	WR92	WR117	WR-T12	TEN	9	24.7	2	6'1"	196	4.34	1	1	46.1	68.1	17	244.36	165	344	1024	169.8	5	DROP			
244	Colby Parkinson	TE	TE32	TE32	TE34	TE-T9	LAR	11	27.6	7	6'7"	265	4.77	1	22	46.1	86.8	14	265.87	215	345	418	170.2	11				
245	Kaytron Allen	RB	RB66	RB66	RB87	RB-T11	WAS	7	23.6	R	5'11"	217		1	-13	45.5			232.16	156	343	402	170.3	12				
246	Keon Coleman	WR	WR93	WR93	WR92	WR-T12	BUF	7	23.3	3	6'3"	213	4.61	1	1	44.9	62.4	12	246.9	154	331	358	170.3	5				
247	Devaughn Vele	WR	WR94	WR94	WR70	WR-T12	NO	8	28.7	3	6'5"	210	4.47	1	2	44.6	41.3	9	248.58	154	302	215	171.7	8	ADD			
248	Darren Waller	TE	TE33	TE33	TE27	TE-T9	CAR	5	34.0	9	6'6"	245	4.46	1	20	44.6	64.7	9	267.85	209	357	365	170.4	5	ADD			
249	Elic Ayomanor	WR	WR95	WR95	WR132	WR-T12	TEN	9	23.2	2	6'2"	206	4.44	1	3	43.8	75.5	16	251.77	180	350	1103	170.0	3				
250	Mike Gesicki	TE	TE34	TE34	TE33	TE-T9	CIN	6	30.9	9	6'6"	245	4.54	1	23	43.6	42.7	12	273.14	226	352	417	170.2	4				
251	Justice Hill	RB	RB67	RB67	RB58	RB-T11	BAL	13	28.8	8	5'10"	205	4.4	1	-14	43.3	44.2	10	236.52	141	327	265	168.8	9	ADD			
252	Elijah Sarratt	WR	WR96	WR96	WR130	WR-T12	BAL	13	23.3	R	6'2"	209		1	10	43.0			261.62	204	323	1094	170.0	8				
253	Mason Taylor	TE	TE35	TE35	TE41	TE-T9	NYJ	13	22.3	2	6'5"	251		1	21	43.0	42.9	13	274.29	200	336	464	170.0	4			Mason Taylor putting in the work with expectations raised for second Jets season (rss:yahoo)	https://sports.yahoo.com/articles/mason-taylor-putting-expectations-raised-011252895.html
254	Anthony Richardson Sr.	QB	QB44	QB44	QB43	QB-T9	IND	13	24.3	4	6'4"	244	4.43	1	93	42.9	1.2	2	346.95	295	392	478	170.0	8				
255	Tory Horton	WR	WR97	WR97	WR101	WR-T12	SEA	11	23.8	2	6'2"	196	4.41	1	7	42.5	46.1	8	261.68	208	369	395	170.2	4				
256	Jaylen Wright	RB	RB68	RB68	RB61	RB-T11	MIA	6	23.4	3	5'10"	208	4.38	1	-19	42.1	43.2	9	236.57	162	308	307	170.6	5				
257	Christian Kirk	WR	WR98	WR98	WR148	WR-T12	SF	8	29.8	9	5'11"	200	4.47	1	8	41.8	29.9	11	264.59	176	374	1335	169.9	6				
258	Xavier Legette	WR	WR99	WR99	WR83	WR-T12	CAR	5	25.6	3	6'3"	218	4.39	1	7	41.3	54.3	15	264.69	195	332	326	170.7	2				
259	Kaelon Black	RB	RB69	RB69	RB59	RB-T11	SF	8	24.9	R	5'9"	208		1	-21	41.2			237.76	128	327	269	170.3	12	ADD			
260	Theo Johnson	TE	TE36	TE36	TE42	TE-T9	NYG	8	25.5	3	6'6"	264		1	21	41.2	82.8	15	280.76	203	349	465	170.1	4				
261	Darius Slayton	WR	WR100	WR100	WR89	WR-T12	NYG	8	29.6	8	6'1"	198	4.39	1	4	41.0	57.8	14	264.83	184	334	332	170.6	2				
262	George Holani	RB	RB70	RB70	RB73	RB-T11	SEA	11	26.7	3	5'10"	210	4.52	1	-18	40.7	12.8	10	243.54	154	332	346	170.3	5				
263	Charlie Kolar	TE	TE37	TE37	TE59	TE-T9	LAC	7	27.6	5	6'6"	265		1	21	40.7	26.2	13	284.08	196	382	1033	170.0	1				
264	Tyquan Thornton	WR	WR101	WR101	WR91	WR-T12	KC	5	26.1	5	6'2"	185	4.28	1	1	40.5	61.8	12	264.9	166	373	357	170.3	4				
265	Marvin Mims Jr.	WR	WR102	WR102	WR95	WR-T12	DEN	10	24.5	4	5'11"	182	4.38	1	3	39.9	52.0	15	267.99	208	369	371	170.2	6				
266	Cade Klubnik	QB	QB45	QB45	QB51	QB-T9	NYJ	13	22.9	R	6'2"	207		1	82	39.9			347.83	325	398	1260	170.0	5				
267	Eli Stowers	TE	TE38	TE38	TE46	TE-T9	PHI	10	23.4	R	6'4"	239	4.51	1	19	39.6			286.04	203	377	469	170.0	13				
268	Ollie Gordon II	RB	RB71	RB71	RB62	RB-T11	MIA	6	22.6	2	6'2"	225	4.61	1	-19	39.4	47.1	17	248.68	162	332	308	170.7	2				
269	Brandon Aiyuk	WR	WR103	WR103	WR151	WR-T12	SF	8	28.5	6	6'0"	200	4.5	1	4	39.3			273.21	163	381	1342	170.0	11			49ers legend Vernon Davis gives Brandon Aiyuk the best advice possible (rss:yahoo)	https://sports.yahoo.com/articles/49ers-legend-vernon-davis-gives-010629675.html
270	Jake Tonges	TE	TE39	TE39	TE36	TE-T9	SF	8	27.2	4	6'4"	240		1	21	39.0	59.3	10	290.84	158	358	442	170.1	6				
271	Kyle Williams	WR	WR104	WR104	WR107	WR-T12	NE	11	23.8	2	5'11"	190	4.4	1	4	38.9	39.2	14	275.03	202	369	981	170.0	3				
272	Jahan Dotson	WR	WR105	WR105	WR84	WR-T12	ATL	11	26.4	5	5'11"	184	4.43	1	5	37.9	32.2	15	276.8	154	374	327	170.7	3				
273	Darnell Washington	TE	TE40	TE40	TE39	TE-T9	PIT	9	25.0	4	6'7"	265	4.64	1	21	37.8	40.4	13	293.7	229	356	459	169.8	7				
274	Najee Harris	RB	RB72	RB72	RB56	RB-T11	NYG	8	28.5	6	6'1"	232		1	-25	37.7	8.6	3	249.45	160	360	222	170.2	8				
275	Andrei Iosivas	WR	WR106	WR106	WR96	WR-T12	CIN	6	26.9	4	6'3"	210	4.43	1	2	37.1	56.9	15	276.89	195	359	372	170.1	2				
276	Tommy Myers	TE	TE41	TE41		TE-T9	FA							1	18	36.8			293.75	254	373			0				
277	Demond Claiborne	RB	RB73	RB73	RB85	RB-T11	MIN	6	22.9	R	5'10"	188	4.37	1	-25	36.2			252.01	160	354	398	170.3	10				
278	DeMario Douglas	WR	WR107	WR107	WR88	WR-T12	NE	11	25.7	4	5'8"	185	4.44	1	1	36.1	64.8	16	278.87	168	385	331	170.5	3				
279	Jameis Winston	QB	QB46	QB46	QB42	QB-T9	NYG	8	32.7	12	6'4"	231	4.97	1	72	36.1	44.3	3	350.73	320	388	477	170.0	2				
280	Michael Mayer	TE	TE42	TE42	TE35	TE-T9	LV	13	25.2	4	6'4"	256	4.7	1	19	35.4	38.8	13	299.27	241	361	441	170.2	6				
281	Mack Hollins	WR	WR108	WR108	WR104	WR-T12	NE	11	33.0	10	6'4"	221	4.53	1	1	35.2	67.4	14	282.08	199	387	421	170.1	2				
282	Isaiah Davis	RB	RB74	RB74	RB70	RB-T11	NYJ	13	24.5	3	6'1"	220	4.57	1	-28	35.0	48.2	16	253.97	162	326	343	170.5	2				
283	Tyreek Hill	WR	WR109	WR109	WR161	WR-T12	FA		32.5	10	5'10"	191		1	0	34.8	32.5	4	282.61	192	385	1732	169.8	15	DROP			
284	Ty Johnson	RB	RB75	RB75	RB64	RB-T11	BUF	7	29.0	8	5'10"	210		1	-25	34.5	76.3	17	259.3	162	332	320	170.8	2				
285	Xavier Hutchinson	WR	WR110	WR110	WR85	WR-T12	HOU	8	26.3	4	6'3"	210	4.53	1	2	34.1	63.0	16	287.42	176	384	328	170.2	4				
286	LeQuint Allen Jr.	RB	RB76	RB76	RB72	RB-T11	JAC	7	22.1	2	6'0"	201		1	-24	33.8	14.8	16	262.4	160	343	345	170.3	2				
287	Elijah Arroyo	TE	TE43	TE43	TE40	TE-T9	SEA	11	23.4	2	6'5"	254		1	14	33.7	21.9	13	300.8	209	367	460	169.9	2				
288	Hollywood Brown	WR	WR111	WR111	WR120	WR-T12	PHI	10						1	1	33.5			288.84	239	382	1047	170.0	3				
289	Marcus Mariota	QB	QB47	QB47	QB44	QB-T9	WAS	7	32.8	12	6'4"	222	4.52	1	63	33.5	125.5	10	352.24	297	398	483	170.0	1				
290	Samaje Perine	RB	RB77	RB77	RB63	RB-T11	CIN	6	31.0	10	5'10"	240	4.65	1	-28	33.2	60.9	15	262.41	152	331	319	171.1	5				
291	Oscar Delp	TE	TE44	TE44	TE69	TE-T9	NO	8	23.1	R	6'5"	245		1	15	33.0			305.83	254	381	1149	170.0	4				
292	Jalen Tolbert	WR	WR112	WR112	WR86	WR-T12	MIA	6	27.5	5	6'1"	195	4.49	1	-2	32.7	26.3	12	289.65	194	378	329	170.6	4				
293	Jordan James	RB	RB78	RB78	RB77	RB-T11	SF	8	22.4	2	5'9"	208	4.55	1	-28	32.5			264.94	164	343	352	170.8	5				
294	Bryce Lance	WR	WR113	WR113	WR115	WR-T12	NO	8	24.0	R	6'3"	204	4.34	1	-4	32.1			289.7	180	351	1011	170.0	2				
295	Erick All Jr.	TE	TE45	TE45	TE38	TE-T9	CIN	6	26.0	3	6'5"	255		1	19	31.5			314.23	209	409	445	170.0	1				
296	Isaiah Bond	WR	WR114	WR114	WR119	WR-T12	CLE	11	22.5	2	5'11"	180	4.39	1	-6	31.4	36.7	15	290.48	224	380	1041	170.0	1				
